Accesion,Organism,Source
AP026443.1,Cellulomonas sp. NTE-D12,Cellulomonas sp. NTE-D12
AP024480.1,Caldicellulosiruptor diazotrophicus,Caldicellulosiruptor diazotrophicus
MG188304.1,Cloning vector pCA-DEST2301,Cloning vector pCA-DEST2301
LN592461.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590853.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN594233.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590902.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN596274.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583087.1,Leea guineensis,Leea guineensis
LN590839.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590705.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583047.1,Vitis amurensis,Vitis amurensis
MG188290.1,Cloning vector pCA-DEST1401,Cloning vector pCA-DEST1401
LN590934.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590908.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP106693.1,Gossypium herbaceum,Gossypium herbaceum
OL824859.1,Phytolacca americana,Phytolacca americana (American pokeweed)
LC597798.1,synthetic construct,synthetic construct
LT635623.1,Plasmodium vivax,Plasmodium vivax (malaria parasite P. vivax)
XR_002394023.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LN598497.1,Cyprinus carpio,Cyprinus carpio (common carp)
OV195202.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
MZ366770.1,Opuntia arechavaletae,Opuntia arechavaletae
HM753679.1,Escherichia phage phiX174,Escherichia phage phiX174
LN597428.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_002393997.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
HM753668.1,Escherichia phage phiX174,Escherichia phage phiX174
LN590710.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN591070.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN596727.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597669.1,synthetic construct,synthetic construct
LC597797.1,synthetic construct,synthetic construct
LN594987.1,Cyprinus carpio,Cyprinus carpio (common carp)
OV196492.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
MG188316.1,Cloning vector pCA-DEST2430,Cloning vector pCA-DEST2430
LN590772.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM753693.1,Escherichia phage phiX174,Escherichia phage phiX174
XM_044527778.1,Triticum aestivum,Triticum aestivum (bread wheat)
M14428.1,Enterobacteria phage S13,Enterobacteria phage S13
LN598517.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590884.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590689.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG188287.1,Cloning vector pCA-DEST1320,Cloning vector pCA-DEST1320
LN596339.1,Cyprinus carpio,Cyprinus carpio (common carp)
OV195277.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
EF380016.1,Escherichia phage phiX174,Escherichia phage phiX174
XR_002394006.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
XM_021428956.1,Herrania umbratica,Herrania umbratica
LN598661.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597802.1,synthetic construct,synthetic construct
LN596502.1,Cyprinus carpio,Cyprinus carpio (common carp)
AF176034.1,Escherichia phage phiX174,Escherichia phage phiX174
OL824856.1,Phytolacca americana,Phytolacca americana (American pokeweed)
LN590930.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG188286.1,Cloning vector pCA-DEST1310,Cloning vector pCA-DEST1310
MG188313.1,Cloning vector pCA-DEST2403,Cloning vector pCA-DEST2403
HM753687.1,Escherichia phage phiX174,Escherichia phage phiX174
OV016109.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
OV197187.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
LN591218.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583052.1,Vitis bellula var. pubigera,Vitis bellula var. pubigera
MG188283.1,Cloning vector pCA-DEST1301,Cloning vector pCA-DEST1301
LN592632.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN595103.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG188288.1,Cloning vector pCA-DEST1330,Cloning vector pCA-DEST1330
HM753691.1,Escherichia phage phiX174,Escherichia phage phiX174
LN590686.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597807.1,synthetic construct,synthetic construct
JX913857.1,synthetic Enterobacteria phage phiX174.1f,synthetic Enterobacteria phage phiX174.1f
LN595796.1,Cyprinus carpio,Cyprinus carpio (common carp)
MZ366785.1,Opuntia retrorsa,Opuntia retrorsa
MG188284.1,Cloning vector pCA-DEST1302,Cloning vector pCA-DEST1302
LN590773.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_002393996.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LC597796.1,synthetic construct,synthetic construct
LN596087.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583057.1,Vitis piasezkii,Vitis piasezkii
MZ366774.1,Opuntia bonaerensis,Opuntia bonaerensis
MZ366778.1,Opuntia elata,Opuntia elata
LN595223.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590704.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN598136.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN592962.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_002394035.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
MW583060.1,Vitis shenxiensis,Vitis shenxiensis
LN591408.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_002394028.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
MZ366786.1,Opuntia rioplatensis,Opuntia rioplatensis
LC183530.1,Dioon holmgrenii,Dioon holmgrenii
LT703009.1,Anderseniella sp. Alg231-50,Anderseniella sp. Alg231-50
BK054506.1,Siphoviridae sp.,Siphoviridae sp. (Human Metagenome)
LM996286.1,Escherichia coli,Escherichia coli
LN591675.1,Cyprinus carpio,Cyprinus carpio (common carp)
EF380032.1,Escherichia phage phiX174,Escherichia phage phiX174
LN590718.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_013494305.1,Eimeria mitis,Eimeria mitis
LN590719.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN596822.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583089.1,Vitis rotundifolia,Vitis rotundifolia
LC597715.1,synthetic construct,synthetic construct
LC597788.1,synthetic construct,synthetic construct
XR_002394021.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LN590915.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG188278.1,Cloning vector pCA-DEST1203,Cloning vector pCA-DEST1203
HM753700.1,Escherichia phage phiX174,Escherichia phage phiX174
HM753664.1,Escherichia phage phiX174,Escherichia phage phiX174
LN598462.1,Cyprinus carpio,Cyprinus carpio (common carp)
AF176029.1,Escherichia phage phiX174,Escherichia phage phiX174
MG188279.1,Cloning vector pCA-DEST1210,Cloning vector pCA-DEST1210
XR_001560985.1,Acropora digitifera,Acropora digitifera
LC597670.1,synthetic construct,synthetic construct
LC183528.1,Dioon edule,Dioon edule
MW583088.1,Nekemias arborea,Nekemias arborea
OX240751.1,Danio rerio,Danio rerio (zebrafish)
LC597760.1,synthetic construct,synthetic construct
XR_001560980.1,Acropora digitifera,Acropora digitifera
LC183524.1,Dioon edule,Dioon edule
OL824860.1,Phytolacca americana,Phytolacca americana (American pokeweed)
MW583111.1,Vitis riparia,Vitis riparia (riverbank grape)
LN594739.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_007198978.1,Rhodamnia argentea,Rhodamnia argentea
HM753711.1,Escherichia phage phiX174,Escherichia phage phiX174
HM753662.1,Escherichia phage phiX174,Escherichia phage phiX174
LN598550.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG188295.1,Cloning vector pCA-DEST1430,Cloning vector pCA-DEST1430
LC597722.1,synthetic construct,synthetic construct
MG188281.1,Cloning vector pCA-DEST1230,Cloning vector pCA-DEST1230
LN591188.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590684.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP001393.1,Caldicellulosiruptor bescii DSM 6725,Caldicellulosiruptor bescii DSM 6725
JQ764987.1,Escherichia phage phiX174,Escherichia phage phiX174
LT972179.1,Larimichthys crocea,Larimichthys crocea (large yellow croaker)
OW971928.1,Acrobasis suavella,Acrobasis suavella
MZ366783.1,Opuntia penicilligera,Opuntia penicilligera
LN590769.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583058.1,Vitis bryoniifolia,Vitis bryoniifolia
HM753684.1,Escherichia phage phiX174,Escherichia phage phiX174
LN591051.1,Cyprinus carpio,Cyprinus carpio (common carp)
MZ366781.1,Opuntia megapotamica,Opuntia megapotamica
MG188291.1,Cloning vector pCA-DEST1402,Cloning vector pCA-DEST1402
LN593384.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_002394036.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
MW583079.1,Vitis monticola,Vitis monticola
XR_002394033.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LN594771.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583065.1,Vitis retordii,Vitis retordii
LN590985.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_001560996.1,Acropora digitifera,Acropora digitifera
LN590680.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN598428.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM753667.1,Escherichia phage phiX174,Escherichia phage phiX174
LN594450.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_002394029.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
BK045202.1,Caudovirales sp.,Caudovirales sp. (Human Metagenome)
LN594027.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC183552.1,Dioon tomasellii,Dioon tomasellii
LC183527.1,Dioon edule,Dioon edule
LN590949.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_002393994.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LN592354.1,Cyprinus carpio,Cyprinus carpio (common carp)
OL824849.1,Phytolacca rivinoides,Phytolacca rivinoides
LN591306.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_008193649.1,Gossypium raimondii,Gossypium raimondii
HM753697.1,Escherichia phage phiX174,Escherichia phage phiX174
LC597685.1,synthetic construct,synthetic construct
LC597767.1,synthetic construct,synthetic construct
XR_002394005.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
OM970792.1,Limnanthes floccosa subsp. grandiflora,Limnanthes floccosa subsp. grandiflora
MG188307.1,Cloning vector pCA-DEST2310,Cloning vector pCA-DEST2310
MW583083.1,Vitis rotundifolia,Vitis rotundifolia
HM753716.1,Escherichia phage phiX174,Escherichia phage phiX174
HM753670.1,Escherichia phage phiX174,Escherichia phage phiX174
LN598354.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN591327.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM753689.1,Escherichia phage phiX174,Escherichia phage phiX174
LC183534.1,Dioon merolae,Dioon merolae
HM753705.1,Escherichia phage phiX174,Escherichia phage phiX174
EF380011.1,Escherichia phage phiX174,Escherichia phage phiX174
LN597611.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583086.1,Vitis labrusca,Vitis labrusca
LN590712.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN591006.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597771.1,synthetic construct,synthetic construct
XR_002394008.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
MG188294.1,Cloning vector pCA-DEST1420,Cloning vector pCA-DEST1420
LN591118.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597690.1,synthetic construct,synthetic construct
LM523540.1,Parastrongyloides trichosuri,Parastrongyloides trichosuri
CP000679.1,Caldicellulosiruptor saccharolyticus DSM 8903,Caldicellulosiruptor saccharolyticus DSM 8903
MW583080.1,Vitis mustangensis,Vitis mustangensis
GU385905.1,Escherichia phage phiX174,Escherichia phage phiX174
LC597804.1,synthetic construct,synthetic construct
EF380025.1,Escherichia phage phiX174,Escherichia phage phiX174
CP001395.1,Caldicellulosiruptor bescii DSM 6725,Caldicellulosiruptor bescii DSM 6725
OX240756.1,Danio rerio,Danio rerio (zebrafish)
AF299302.1,Escherichia phage phiX174,Escherichia phage phiX174
LN591802.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN594390.1,Cyprinus carpio,Cyprinus carpio (common carp)
BK043158.1,Myoviridae sp.,Myoviridae sp. (Human Metagenome)
HM753665.1,Escherichia phage phiX174,Escherichia phage phiX174
LN594646.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN592338.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC183537.1,Dioon purpusii,Dioon purpusii
OV196298.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
LC219389.1,Dioscorea cayenensis subsp. rotundata,mitochondrion Dioscorea cayenensis subsp. rotundata (Guinea yam)
OM970793.1,Limnanthes floccosa subsp. bellingeriana,Limnanthes floccosa subsp. bellingeriana
MW583091.1,Tetrastigma sp. Wen 12461,Tetrastigma sp. Wen 12461
LN594833.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG188308.1,Cloning vector pCA-DEST2320,Cloning vector pCA-DEST2320
LN592578.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583110.1,Ampelopsis cordata,Ampelopsis cordata
KY965816.2,Lasthenia californica,chloroplast Lasthenia californica
LN595867.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN593496.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN595112.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN596606.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN591505.1,Cyprinus carpio,Cyprinus carpio (common carp)
LT594792.1,Theobroma cacao,Theobroma cacao (cacao)
HM753712.1,Escherichia phage phiX174,Escherichia phage phiX174
AP024880.1,Vibrio inusitatus,Vibrio inusitatus
HM753690.1,Escherichia phage phiX174,Escherichia phage phiX174
JX069762.1,Cloning vector pFosill-2,Cloning vector pFosill-2
MG188293.1,Cloning vector pCA-DEST1410,Cloning vector pCA-DEST1410
LM996054.1,Escherichia coli,Escherichia coli
XR_002393995.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
JQ764989.1,Escherichia phage phiX174,Escherichia phage phiX174
XR_002394031.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LN590674.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590698.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590859.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC183520.1,Dioon angustifolium,Dioon angustifolium
OL824858.1,Phytolacca americana,Phytolacca americana (American pokeweed)
CP002330.1,Caldicellulosiruptor kronotskyensis 2002,Caldicellulosiruptor kronotskyensis 2002
MG188299.1,Cloning vector pCA-DEST2203,Cloning vector pCA-DEST2203
LN591511.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN592703.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG188311.1,Cloning vector pCA-DEST2401,Cloning vector pCA-DEST2401
XR_002394034.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LS992247.1,Human gammaherpesvirus 4,Human gammaherpesvirus 4 (Epstein-Barr virus)
LC597774.1,synthetic construct,synthetic construct
MK542544.1,Expression vector pLT_228,Expression vector pLT_228
LN590711.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_001560989.1,Acropora digitifera,Acropora digitifera
LN598313.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN594460.1,Cyprinus carpio,Cyprinus carpio (common carp)
MH883760.1,Human gammaherpesvirus 4,Human gammaherpesvirus 4 (Epstein-Barr virus)
XR_002394002.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LC597721.1,synthetic construct,synthetic construct
XR_002394032.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
OX240769.1,Danio rerio,Danio rerio (zebrafish)
LN592861.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583062.1,Vitis balansana,Vitis balansana
OM970791.1,Limnanthes douglasii,Limnanthes douglasii (Douglas's meadowfoam)
CP002219.1,Caldicellulosiruptor hydrothermalis 108,Caldicellulosiruptor hydrothermalis 108
OL824861.1,Phytolacca icosandra,Phytolacca icosandra
AF299303.1,Escherichia phage phiX174,Escherichia phage phiX174
OU509537.1,Klebsiella pneumoniae phage,Klebsiella pneumoniae phage
LN591056.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_002394024.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
XR_001560995.1,Acropora digitifera,Acropora digitifera
LN592367.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590693.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG188310.1,Cloning vector pCA-DEST2400,Cloning vector pCA-DEST2400
MK542542.1,Expression vector pLT_207,Expression vector pLT_207
HM753678.1,Escherichia phage phiX174,Escherichia phage phiX174
LC183525.1,Dioon edule,Dioon edule
OX240282.1,Danio rerio,Danio rerio (zebrafish)
LN591091.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN593682.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583077.1,Vitis californica,Vitis californica
LN594374.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN591136.1,Cyprinus carpio,Cyprinus carpio (common carp)
LT700188.1,Negativicoccus massiliensis,Negativicoccus massiliensis
LN599307.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583067.1,Vitis wuhanensis,Vitis wuhanensis
XR_002394030.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
XR_008193602.1,Gossypium raimondii,Gossypium raimondii
CP002216.1,Caldicellulosiruptor owensensis OL,Caldicellulosiruptor owensensis OL
LM997153.1,Escherichia coli,Escherichia coli
XR_002393993.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
MN531141.1,Puma lentivirus,Puma lentivirus
LC183551.1,Dioon tomasellii,Dioon tomasellii
MG188306.1,Cloning vector pCA-DEST2303,Cloning vector pCA-DEST2303
LN591165.1,Cyprinus carpio,Cyprinus carpio (common carp)
EF380009.1,Escherichia phage phiX174,Escherichia phage phiX174
EF380024.1,Escherichia phage phiX174,Escherichia phage phiX174
LN593842.1,Cyprinus carpio,Cyprinus carpio (common carp)
AC192629.3,Pan troglodytes,INFORMATION:
LC597705.1,synthetic construct,synthetic construct
CP094103.1,Helicobacter pylori,Helicobacter pylori
LN596222.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597782.1,synthetic construct,synthetic construct
LN594467.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN599314.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM753660.1,Escherichia phage phiX174,Escherichia phage phiX174
BK044717.1,Siphoviridae sp.,Siphoviridae sp. (Human Metagenome)
LN594639.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583068.1,Vitis pseudoreticulata,Vitis pseudoreticulata
MW583059.1,Vitis davidii,Vitis davidii
OL824850.1,Phytolacca acinosa,Phytolacca acinosa (food pokeweed)
HM753696.1,Escherichia phage phiX174,Escherichia phage phiX174
LM996658.1,Escherichia coli,Escherichia coli
MW583055.1,Vitis sinocinerea,Vitis sinocinerea
OX327699.1,Ailanthus altissimus,Ailanthus altissimus
LR789910.1,Phallusia mammillata,Phallusia mammillata
LN594859.1,Cyprinus carpio,Cyprinus carpio (common carp)
AF176031.1,Escherichia phage phiX174,Escherichia phage phiX174
LN593110.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_024241073.1,Pongo abelii,Pongo abelii (Sumatran orangutan)
OL824857.1,Phytolacca acinosa,Phytolacca acinosa (food pokeweed)
MW583075.1,Vitis yunnanensis,Vitis yunnanensis
OV196177.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
LN590978.1,Cyprinus carpio,Cyprinus carpio (common carp)
EF380031.1,Escherichia phage phiX174,Escherichia phage phiX174
XM_044618597.1,Mangifera indica,Mangifera indica (mango)
LN590802.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597731.1,synthetic construct,synthetic construct
LN596719.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN597241.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583085.1,Vitis rotundifolia var. munsoniana,Vitis rotundifolia var. munsoniana
LN594824.1,Cyprinus carpio,Cyprinus carpio (common carp)
AF299300.1,Escherichia phage phiX174,Escherichia phage phiX174
LN590702.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597803.1,synthetic construct,synthetic construct
LT963439.1,Staphylococcus xylosus,Staphylococcus xylosus
NC_055862.1,Vibrio phage ValB1MD-2,Vibrio phage ValB1MD-2
LN591030.1,Cyprinus carpio,Cyprinus carpio (common carp)
OL824851.1,Phytolacca polyandra,Phytolacca polyandra
MZ366769.1,Brasiliopuntia brasiliensis,Brasiliopuntia brasiliensis
LN590683.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597687.1,synthetic construct,synthetic construct
AF299305.1,Escherichia phage phiX174,Escherichia phage phiX174
XR_002394020.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
HM753699.1,Escherichia phage phiX174,Escherichia phage phiX174
LN596189.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG188305.1,Cloning vector pCA-DEST2302,Cloning vector pCA-DEST2302
LN597789.1,Cyprinus carpio,Cyprinus carpio (common carp)
BK041012.1,Myoviridae sp.,Myoviridae sp. (Human Metagenome)
LC597678.1,synthetic construct,synthetic construct
MH378443.1,Sinsheimervirus phiX174,Sinsheimervirus phiX174
MZ366779.1,Opuntia gaumeri,Opuntia gaumeri
LR722623.1,Hordeum vulgare subsp. vulgare,Hordeum vulgare subsp. vulgare (domesticated barley)
LN595320.1,Cyprinus carpio,Cyprinus carpio (common carp)
LM997376.1,Escherichia coli,Escherichia coli
XR_002393998.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LN484131.1,Culicoides sonorensis,Culicoides sonorensis
HM775307.1,Escherichia phage phiX174,Escherichia phage phiX174
LN594651.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590687.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_002394025.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LC183531.1,Dioon holmgrenii,Dioon holmgrenii
MW583072.1,Vitis erythrophylla,Vitis erythrophylla
MW583084.1,Vitis shuttleworthii,Vitis shuttleworthii
CP003001.1,Caldicellulosiruptor acetigenus 6A,Caldicellulosiruptor acetigenus 6A
MW583066.1,Vitis flexuosa,Vitis flexuosa
MZ092003.1,Paenibacillus phage Pd_22F,Paenibacillus phage Pd_22F
HM753685.1,Escherichia phage phiX174,Escherichia phage phiX174
AF299301.1,Escherichia phage phiX174,Escherichia phage phiX174
LN592867.1,Cyprinus carpio,Cyprinus carpio (common carp)
OV196626.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
OX240467.1,Danio rerio,Danio rerio (zebrafish)
LN590831.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_002394019.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
MG188301.1,Cloning vector pCA-DEST2220,Cloning vector pCA-DEST2220
LN590829.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN593611.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN594483.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC183549.1,Dioon tomasellii,Dioon tomasellii
LC183521.1,Dioon argenteum,Dioon argenteum
LN590703.1,Cyprinus carpio,Cyprinus carpio (common carp)
